sym,n_full,pf_full,mean_full,n_is,pf_is,mean_is,n_oos,pf_oos,mean_oos,n_2024p,pf_2024p,mean_2024p,status
AAVEUSDT,121,1.031,0.0015,23,2.316,0.0591,28,1.454,0.0142,73,1.265,0.0121,ok
ADAUSDT,141,1.055,0.0027,33,1.32,0.017,26,1.316,0.0115,76,1.255,0.0113,ok
APTUSDT,109,1.222,0.0104,32,0.93,-0.0041,30,1.068,0.003,87,0.897,-0.005,ok
ARBUSDT,85,1.09,0.0052,27,0.696,-0.018,20,1.387,0.0197,65,1.072,0.0039,ok
ATOMUSDT,146,0.88,-0.0071,33,0.184,-0.0571,29,0.502,-0.031,75,0.458,-0.0321,ok
AVAXUSDT,115,1.16,0.0078,18,1.183,0.0092,33,0.735,-0.0104,69,0.695,-0.0148,ok
BCHUSDT,154,0.781,-0.0098,23,2.782,0.033,30,0.768,-0.0081,74,1.371,0.0109,ok
BNBUSDT,137,1.581,0.022,26,0.878,-0.004,22,0.998,-0.0001,64,1.451,0.0117,ok
BTCUSDT,113,1.345,0.0109,23,2.235,0.022,16,1.613,0.0176,59,1.337,0.0087,ok
DOGEUSDT,117,2.011,0.0486,20,2.665,0.0805,23,1.171,0.0053,61,1.944,0.0365,ok
DOTUSDT,123,0.807,-0.0095,26,0.814,-0.0103,30,0.636,-0.0164,72,0.74,-0.0126,ok
ETCUSDT,109,1.399,0.0185,27,0.667,-0.0171,29,1.111,0.0032,67,0.854,-0.0063,ok
ETHUSDT,93,1.304,0.0138,17,2.385,0.0476,13,3.895,0.0664,39,2.302,0.0474,ok
FETUSDT,125,1.36,0.0215,40,0.416,-0.0326,31,0.5,-0.0337,85,0.924,-0.0045,ok
FILUSDT,148,0.636,-0.0206,33,0.441,-0.0291,43,0.318,-0.0442,96,0.443,-0.0311,ok
HBARUSDT,69,1.897,0.0441,29,2.914,0.1041,19,1.312,0.0101,65,1.854,0.0423,ok
ICPUSDT,111,1.163,0.0078,31,0.847,-0.0065,27,0.278,-0.0438,85,0.569,-0.0218,ok
INJUSDT,16,0.139,-0.0516,0,0.0,0.0,14,0.159,-0.0502,16,0.139,-0.0516,ok
LINKUSDT,134,0.826,-0.0082,26,1.399,0.0205,21,2.88,0.0363,68,1.231,0.0096,ok
LTCUSDT,166,0.489,-0.0249,28,0.608,-0.0208,32,1.122,0.0025,75,0.728,-0.0095,ok
MKRUSDT,115,0.489,-0.0308,29,0.392,-0.035,0,0.0,0.0,36,0.773,-0.0131,ok
NEARUSDT,124,0.988,-0.0007,29,0.34,-0.0447,27,0.419,-0.0342,81,0.613,-0.0225,ok
OPUSDT,130,1.126,0.0064,28,0.626,-0.0197,38,0.777,-0.0094,86,0.84,-0.007,ok
PEPEUSDT,38,0.881,-0.0067,12,1.153,0.009,26,0.748,-0.014,38,0.881,-0.0067,ok
SHIBUSDT,93,1.306,0.0161,15,1.449,0.034,22,0.955,-0.0022,51,1.617,0.0328,ok
SOLUSDT,148,2.106,0.0636,22,0.591,-0.0259,29,1.218,0.0058,74,0.605,-0.02,ok
SUIUSDT,56,2.951,0.0836,13,5.336,0.2404,26,1.651,0.0184,55,2.381,0.0602,ok
TIAUSDT,56,0.331,-0.0365,0,0.0,0.0,52,0.356,-0.0351,56,0.331,-0.0365,ok
TRXUSDT,28,0.125,-0.0443,0,0.0,0.0,7,0.0,-0.0185,7,0.0,-0.0185,ok
UNIUSDT,133,1.046,0.0023,17,1.881,0.054,26,1.851,0.0316,60,1.442,0.0221,ok
XLMUSDT,146,1.047,0.0023,25,4.849,0.1368,29,1.118,0.0038,71,2.151,0.0408,ok
XRPUSDT,81,1.55,0.019,33,2.225,0.0523,28,1.398,0.009,71,1.592,0.0216,ok
